area_m2,bedrooms,frontage,price_million_vnd,province,district,distance_to_center_km,log_area,area_sq,log_distance,area_dist_inter
75.0,4.0,0,8500.0,Hà Nội,Long Biên,4.08,4.330733340286331,5625.0,1.6253112615903906,306.0
25.0,3.0,0,5900.0,Hà Nội,Thanh Xuân,5.88,3.258096538021482,625.0,1.9286186519452522,147.0
55.0,4.0,0,10100.0,Hà Nội,Long Biên,4.08,4.02535169073515,3025.0,1.6253112615903906,224.4
57.0,3.0,1,4500.0,Khánh Hòa,Nha Trang,,4.060443010546419,3249.0,1.9300710850255671,335.72999999999996
80.0,3.0,0,3500.0,Đà Nẵng,Liên Chiểu,,4.394449154672439,6400.0,1.9300710850255671,471.2
350.0,8.0,1,255000.0,Hà Nội,Tây Hồ,5.66,5.860786223465865,122500.0,1.8961194845522977,1981.0
72.0,13.0,1,43000.0,Hà Nội,Hai Bà Trưng,2.31,4.290459441148391,5184.0,1.1969481893889715,166.32
56.0,4.0,0,15900.0,Hà Nội,Tây Hồ,5.66,4.04305126783455,3136.0,1.8961194845522977,316.96000000000004
35.0,3.0,0,9250.0,Hà Nội,Ba Đình,3.18,3.58351893845611,1225.0,1.430311246536665,111.30000000000001
35.0,3.0,0,6800.0,Hà Nội,Long Biên,4.08,3.58351893845611,1225.0,1.6253112615903906,142.8
38.0,3.0,0,5000.0,Hồ Chí Minh,Gò Vấp,7.86,3.6635616461296463,1444.0,2.1815467646169897,298.68
50.0,4.0,0,5900.0,Hồ Chí Minh,Quận 8,9.83,3.9318256327243257,2500.0,2.382320061012899,491.5
135.0,5.0,0,7300.0,Bình Dương,Thuận An,,4.912654885736052,18225.0,1.9300710850255671,795.15
87.0,6.0,0,29460.0,Hồ Chí Minh,Quận 10,3.65,4.477336814478207,7569.0,1.536867219599265,317.55
52.0,4.0,0,7050.0,Hồ Chí Minh,Quận 2,,3.970291913552122,2704.0,1.9300710850255671,306.28
47.0,4.0,0,9600.0,Hà Nội,Đống Đa,3.27,3.871201010907891,2209.0,1.451613827240533,153.69
82.0,5.0,0,16450.0,Hồ Chí Minh,Quận 10,3.65,4.418840607796598,6724.0,1.536867219599265,299.3
50.0,,0,5600.0,Hồ Chí Minh,Tân Phú,8.06,3.9318256327243257,2500.0,2.203869120054888,403.0
40.0,3.0,0,16500.0,Hà Nội,Hai Bà Trưng,2.31,3.713572066704308,1600.0,1.1969481893889715,92.4
40.0,3.0,0,7900.0,Hà Nội,Hai Bà Trưng,2.31,3.713572066704308,1600.0,1.1969481893889715,92.4
65.0,5.0,1,13600.0,Hồ Chí Minh,Bình Thạnh,3.85,4.189654742026425,4225.0,1.5789787049493917,250.25
56.0,3.0,0,6900.0,Hồ Chí Minh,Tân Phú,8.06,4.04305126783455,3136.0,2.203869120054888,451.36
30.0,3.0,0,6300.0,Hà Nội,Bắc Từ Liêm,10.82,3.4339872044851463,900.0,2.469793011977952,324.6
46.0,3.0,0,9000.0,Hà Nội,Long Biên,4.08,3.8501476017100584,2116.0,1.6253112615903906,187.68
